source,text,created_at,retweet_count,favorite_count,is_retweet,id_str
Twitter for iPad,Great parade in The Villages- I love you all. We will #MAGA. Thank you for the incredible support-I will not forget! https://t.co/5qTDijU3hn,09-16-2016 21:01:27,9977,28908,false,776888753499561984
Twitter for iPhone,I am truly honored and grateful for receiving SO much support from our American heroes...https://t.co/S9bvbysiOr https://t.co/JJQncd3zhf,09-16-2016 17:58:14,10271,26351,false,776842647294009344
Twitter for Android,I am now going to the brand new Trump International Hotel D.C. for a major statement.,09-16-2016 13:23:00,6489,25971,false,776773380414537728
Twitter for iPad,Thank you for a great evening - Laconia New Hampshire -- will be back soon! #AmericaFirsthttps://t.co/3KWOl2ibaW https://t.co/QWbYm2lY7B,09-16-2016 03:31:28,5757,17963,false,776624517087133696
Twitter for Android,"@AK_TWEET: #TheDonald's hair gets the #JimmyFallon treatment on #TheTonightShow #TrumpPence16 https://t.co/0RRPbfIgXH"  So true!,09-16-2016 02:43:07,4323,15028,false,776612349079855104
Twitter for Android,"@jimmyfallon: Tonight: @realDonaldTrump @normmacdonald a performance by Kiiaraand your funniest #MyTeacherIsWeird tweets. #FallonTonight,09-16-2016 02:37:51,2473,10205,false,776611024996823040
Twitter for iPhone,Instead of driving jobs and wealth away AMERICA will become the WORLD'S great magnet for innovation &amp; job creation! https://t.co/cvu20ZQSVJ,09-15-2016 22:46:11,10533,28147,false,776552722195705857
Twitter for iPhone,Will be joining @jimmyfallon on @FallonTonight at 11:35pmE tonight. Enjoy!,09-15-2016 22:41:13,3902,13976,false,776551473475887104
Twitter for iPhone,RT @EricTrump: What a scary statistic! Americans are working harder and making less! We need competent leadership! https://t.co/jcGCbVOf6v,09-15-2016 22:23:48,10079,0,true,776547091816517632
Twitter for iPhone,I will be interviewed by @jessebwatters on @oreillyfactor tonight at 8pm. Enjoy!,09-15-2016 21:11:47,3605,13376,false,776528966668652544
Twitter for iPhone,Full transcript of economic plan- delivered to the Economic Club of New York. #MAGA https://t.co/xiu9AUiSSD https://t.co/Fsy1diPWjU,09-15-2016 17:12:03,5991,15695,false,776468635955130368
Twitter for iPhone,Thank you @JerryJrFalwell! https://t.co/jzUQxkW4tB,09-15-2016 15:39:10,3343,10769,false,776445262420123648
Twitter for iPhone,Thank you to all of our law enforcement officers - across America! #LESM #MAGA https://t.co/Mcbc2JzhN2 https://t.co/4MTmR8kXVb,09-15-2016 14:50:08,8605,23284,false,776432922450616320
Twitter for iPhone,Thank you for having me! I enjoyed the tour and spending time with everyone. See you soon. #MAGA https://t.co/eNtS7IBPDo,09-15-2016 14:34:13,3643,12773,false,776428916303138816
Twitter for Android,Will be on @foxandfriends at 7:00 A.M. Enjoy!,09-15-2016 10:48:25,2087,10724,false,776372090068955136
Twitter for Android,"@ghfanlovessonny: @realDonaldTrump you have my vote in Pennsylvania. Trump 2016" Thank you!,09-15-2016 04:04:14,3440,13803,false,776270376846422017
Twitter for Android,I was never a fan of Colin Powell after his weak understanding of weapons of mass destruction in Iraq = disaster. We can do much better!,09-15-2016 03:59:01,7725,26857,false,776269061823074304
Twitter for iPhone,I will be interviewed on @foxandfriends tomorrow at 7am. Enjoy!,09-15-2016 03:00:37,2990,12309,false,776254365627719680
Twitter for iPhone,Great poll out of Nevada- thank you! See you soon. #MAGA #AmericaFirsthttps://t.co/3KWOl2ibaW https://t.co/27sR3MjjXc,09-15-2016 02:33:39,6519,19444,false,776247579600453632
Twitter for iPhone,Great evening in Canton Ohio-thank you! We are going to MAKE AMERICA GREAT AGAIN! Join us: https://t.co/3KWOl2ibaW https://t.co/4MvwUj9eX9,09-15-2016 00:57:20,6137,18778,false,776223340595937280
Twitter for iPhone,Honor to have been interviewed by the very wonderful @bishopwtjackson in Detroit last week - tune in at 9pmE. Enjoy! https://t.co/9ahPnfhQ5N,09-15-2016 00:16:21,3863,12900,false,776213027989426176
Twitter for iPhone,Thank you Ohio! Just landed in Canton for a rally at the Civic Center. Join me at 7pm: https://t.co/s0XVVNyBKf https://t.co/UtCRxykurW,09-14-2016 21:24:01,7996,23750,false,776169656080039936
Twitter for iPhone,Thank you Florida- can't wait to see you Friday in Miami! Join me:https://t.co/rsx313493u https://t.co/JxsWXz05T9,09-14-2016 20:46:23,7126,19706,false,776160185337413632
Twitter for iPhone,Thank you @ATFD17! #ImWithYouVideo: https://t.co/z9Yg83VTF4,09-14-2016 16:54:41,2682,9193,false,776101877805158400
Twitter for iPhone,Great poll Florida - thank you! #ImWithYou #AmericaFirst https://t.co/6Odle7j1hd,09-14-2016 14:02:28,11392,33115,false,776058538137452548
Twitter for iPhone,Thank you Ohio - see you tonight! https://t.co/0DyHkzzWvj,09-14-2016 13:44:02,7567,22539,false,776053900780695553
Twitter for Android,Russia took Crimea during the so-called Obama years. Who wouldn't know this and why does Obama get a free pass?,09-14-2016 03:21:34,7974,22310,false,775897251533160448
Twitter for Android,Why isn't President Obama working instead of campaigning for Hillary Clinton?,09-14-2016 03:09:37,24281,60937,false,775894243143483392
Twitter for iPhone,Thank you Rep. @CynthiaLummis!https://t.co/4S4pnx4Q6r https://t.co/PLUKlsPXPR,09-14-2016 02:47:14,4100,11923,false,775888611615080448
Twitter for iPhone,Thank you Rep. @MarshaBlackburn!https://t.co/vxEk0X4ntS https://t.co/9gAk0FWqZ8,09-14-2016 02:44:55,4013,11657,false,775888025213599744
Twitter for iPhone,Thank you @RepReneeEllmers!https://t.co/1DrZpfa6je https://t.co/rzEw8pQhds,09-14-2016 02:43:01,3720,10950,false,775887550506536960
Twitter for iPhone,RT @LouDobbs: Trump outlines new child-care policy proposals via the @FoxNews App @realDonaldTrump seems a candidate of destiny https://t.c…,09-14-2016 02:40:12,3782,0,true,775886838502481921
Twitter for iPhone,CHILD CARE REFORMS THAT WILL MAKE AMERICA GREAT AGAIN!Transcript: https://t.co/rntyxBSb9Jhttps://t.co/5SWmxfVfto https://t.co/j389Quo4bg,09-14-2016 02:24:59,7400,18504,false,775883010508029953
Twitter for iPhone,RT @IvankaTrump: Ivanka penned an Op-Ed that ran in the @WSJ this afternoon read it here. https://t.co/3QE4nRXzLZ @realDonaldTrump https:/…,09-13-2016 22:42:08,4357,0,true,775826926560608256
Twitter for iPhone,#ImWithYou #AmericaFirst https://t.co/Ne4pI7FyU7,09-13-2016 22:09:30,10830,22526,false,775818716596477952
Twitter for iPhone,RT @IvankaTrump: Ivanka is joining @realDonaldTrump to outline an innovative new child care policy to support American families. Tune in to…,09-13-2016 20:04:31,4158,0,true,775787262869180417
Twitter for iPhone,Thank you Clive Iowa!https://t.co/tuZ35BkD9J,09-13-2016 19:40:53,2851,11283,false,775781315081740289
Twitter for iPhone,Join us today! Together we will #MakeAmericaGreatAgain!https://t.co/v40n8RXgti https://t.co/e3KQfBR2K8,09-13-2016 15:00:23,5169,15427,false,775710725926952961
Twitter for iPhone,Heading to Iowa- join me today at noon! #MakeAmericaGreatAgainTickets: https://t.co/TEY6BbCyxt https://t.co/QyR2MDYYbZ,09-13-2016 13:14:02,4123,14294,false,775683959061708800
Twitter for iPhone,Join me in Clive Iowa tomorrow at noon! #AmericaFirst #MAGATickets: https://t.co/TEY6BbCyxt https://t.co/l17uzRPyLs,09-13-2016 03:19:53,4138,13484,false,775534440240013312
Twitter for Android,"@brimyers813: Saw ur speech on Twitter. U give me hope and optimism. I feel as though I am in the room with u. I pray 4 ur/our success.",09-13-2016 00:49:01,5210,19240,false,775496470816514048
Twitter for Android,Just got back from Asheville  North Carolina where we had a massive rally. The spirit of the crowd was unbelievable. Thank you!  #MAGA,09-13-2016 00:35:11,7942,31165,false,775492989175160836
Twitter for iPhone,Stopped by @TrumpDC to thank all of the tremendous men &amp; women for their hard work! https://t.co/oGcJL4N454,09-12-2016 15:51:45,9292,31164,false,775361266001084416
Twitter for Android,Will be on @CNBC at @7:22. Enjoy!,09-12-2016 11:21:08,2324,11404,false,775293160838819841
Twitter for Android,I will be interviewed on @foxandfriends at 7:00 A.M.,09-12-2016 10:09:36,3091,14656,false,775275158340853760
Twitter for iPhone,#NeverForgethttps://t.co/G5TMAUzy0z,09-11-2016 17:34:30,11562,26514,false,775024731883991040
Twitter for Android,The seriously failing @nytimes despite so much winning and poll numbers that will soon put me in first place only writes dishonest hits!,09-11-2016 01:14:10,7870,27717,false,774778026479513600
Twitter for Android,Hillary Clinton just had her 47% moment. What a terrible thing she said about so many great Americans!,09-10-2016 23:37:06,15323,44397,false,774753598970466304
Twitter for iPhone,RT @BarackObama: RT if you agree: We need a President who is fighting for all Americans not one who writes off nearly half the country.,09-10-2016 20:46:30,27081,0,true,774710663373520897
Twitter for Android,While Hillary said horrible things about my supporters and while many of her supporters will never vote for me I still respect them all!,09-10-2016 18:18:37,25240,69623,false,774673449885192192
Twitter for Android,Really sad that Republicans would allow themselves to be used in a Clinton ad. Lindsey Graham Romney Flake Sass. SUPREME COURT REMEMBER!,09-10-2016 15:54:27,12017,35453,false,774637168769830912
Twitter for Android,Wow Hillary Clinton was SO INSULTING to my supporters millions of amazing hard working people. I think it will cost her at the Polls!,09-10-2016 12:47:18,21422,60468,false,774590070355529728
Twitter for Android,Will be in Missouri today with Melania for the funeral of a wonderful and truly respected woman Phyllis S!,09-10-2016 12:43:08,5929,23940,false,774589019929866240
Twitter for Android,"@Stvzbnk: Just Watched @tonyschwartz. Obviously Tony is a Total Whack Job @realDonaldTrump",09-10-2016 12:30:40,2402,10174,false,774585883165093888
Twitter for Android,Just returned from Pensacola Florida where the crowd was incredible.,09-10-2016 06:15:08,4706,20679,false,774491376906100736
Twitter for Android,I havn't seen @tonyschwartz in many years he hardly knows me. Never liked his style. Super lib Crooked H supporter. Irrelevant dope!,09-10-2016 05:57:59,4265,16876,false,774487060384276480
Twitter for Android,Dummy writer @tonyschwartz who wanted to do a second book with me for years (I said no) is now a hostile basket case who feels jilted!,09-10-2016 05:47:11,4348,16313,false,774484342030602240
Twitter for iPhone,Thank you Florida - we are going to MAKE AMERICA GREAT AGAIN! Join us: https://t.co/3KWOl2ibaW. #AmericaFirst https://t.co/vzKtRxzvwv,09-10-2016 02:31:43,6907,19802,false,774435151975747584
Twitter for iPhone,Will be delivering a major speech tonight - live on @oreillyfactor at 8:10pm from Pensacola Florida.,09-10-2016 00:11:22,3537,14345,false,774399833733947393
Twitter for iPhone,Thank you Ohio. Together we will MAKE AMERICA GREAT AGAIN!https://t.co/3KWOl20zMm https://t.co/n026nE4XIp,09-09-2016 23:19:33,8395,22363,false,774386793038778368
Twitter for iPhone,Great honor to be endorsed by popular &amp; successful @gov_gilmore of VA. A state that I very much want to win-THX Jim! https://t.co/x4Y1TAFHvn,09-09-2016 23:13:34,7667,21452,false,774385288948817920
Twitter for iPhone,MAKE AMERICA GREAT AGAIN!#AmericaFirst #ImWithYou https://t.co/JIlNW7myEN,09-09-2016 21:10:51,9789,21227,false,774354404162039808
Twitter Web Client,Henry McMaster Lt. Governor of South Carolina who endorsed me beat failed @CNN announcer Bakari Sellers so badly. Funny!,09-09-2016 17:32:36,5074,16918,false,774299479155544064
Twitter for iPhone,RT @EricTrump: Join @TeamTrump on Saturday for National Day of Action as we work to #MakeAmericaGreatAgain! https://t.co/hyclkzPoBR https:/…,09-09-2016 16:20:55,4072,0,true,774281441144344576
Twitter Web Client,Jeff Zucker failed @NBC and he is now failing @CNN.,09-09-2016 14:42:56,4445,14327,false,774256782290128896
Twitter Web Client,.@CNN is unwatchable. Their news on me is fiction. Theyare a disgrace to the broadcasting industry and an arm of the Clinton campaign.,09-09-2016 14:37:53,15345,42396,false,774255510191239170
Twitter for Android,The documentary of me that @CNN just aired is a total waste of time. I don't even know many of the people who spoke about me. A joke!,09-09-2016 04:10:49,8075,26229,false,774097705513517057
Twitter for iPhone,Final poll results from NBC on last nights Commander-in-Chief Forum. Thank you! #ImWithYou #MAGA https://t.co/C5ipaxUN7B,09-09-2016 02:00:32,10517,27138,false,774064919633428480
Twitter for iPad,It wasn't Matt Lauer that hurt Hillary last night. It was her very dumb answer about emails &amp; the veteran who said she should be in jail.,09-09-2016 00:39:36,14930,43195,false,774044548293074944
Twitter for iPhone,More poll results from last nights Commander-in-Chief Forum. #AmericaFirst #TrumpTrain https://t.co/FxyBL6fO1h,09-08-2016 23:56:22,10284,25291,false,774033670239760384
Twitter for iPhone,Last nights results - in poll taken by NBC. #AmericaFirst #ImWithYou https://t.co/sCOnny1fl3,09-08-2016 19:52:32,15433,36872,false,773972305642913792
Twitter for iPhone,With Luis Mexico and the United States would have made wonderful deals together - where both Mexico and the US would have benefitted.,09-08-2016 18:17:01,4970,16819,false,773948271140016128
Twitter for iPhone,Mexico has lost a brilliant finance minister and wonderful man who I know is highly respected by President Peña Nieto.,09-08-2016 18:16:25,4833,17080,false,773948120069615616
Twitter for iPhone,Hillary Clinton answered email questions differently last night than she has in the past. She is totally confused. Unfit to serve as #POTUS.,09-08-2016 16:25:36,10450,30344,false,773920230192054272
Twitter Web Client,Hillary just gave a disastrous news conference on the tarmac to make up for poor performance last night. She's being decimated by the media!,09-08-2016 15:17:47,11025,34958,false,773903163296473088
Twitter Web Client,RT @DanScavino: Last nights winner was clear &amp; it will be proven time &amp; time again - lets #MAGA!! Lets WIN!! #TrumpTrain https://t.co/sGqp9…,09-08-2016 15:09:13,7052,0,true,773901007340310528
Twitter for Android,"A rough night for Hillary Clinton"  ABC News.,09-08-2016 12:10:13,8712,28993,false,773855962528620548
Twitter for Android,Wow reviews are in - THANK YOU!,09-08-2016 10:52:27,5140,21672,false,773836389943246848
Twitter for Android,COMING UP @GenFlynn @newtgingrich on @foxandfriends,09-08-2016 10:43:12,2286,10568,false,773834064465920000
Twitter for Android,Thank you to @foxandfriends for the nice reviews of last night.,09-08-2016 10:39:04,3868,16364,false,773833021837438977
Twitter for iPhone,Thank you America - great #CommanderInChiefForum polls! https://t.co/Rcu6KaRGCB,09-08-2016 09:59:36,9464,22802,false,773823089331277824
Twitter for Android,Thank you to our fantastic veterans. The reviews and polls from almost everyone of my Commander-in-Chief presentation were great. Nice!,09-08-2016 04:02:15,9319,36301,false,773733162245582849
Twitter for iPhone,Thank you Peter - if elected I will think big for our country &amp; never let the American people down! #AmericaFirst https://t.co/6Nwu7EMJ9d,09-07-2016 22:07:20,8237,21404,false,773643843476611072
Twitter for iPhone,Wow - thank you Pensacola FL. See you Friday at 7pm -- join me!https://t.co/JCO7Za78tV https://t.co/LYmpRyY0Hq,09-07-2016 20:23:56,6965,21960,false,773617820944961536
Twitter for iPhone,#AmericaFirst! https://t.co/fQGxwAjXD7,09-07-2016 18:12:26,8910,26714,false,773584728276475905
Twitter for iPhone,'Donald Trump leads Hillary Clinton by 19 points among military veteran voters: poll' #AmericaFirst #MAGAhttps://t.co/5FmxGtLkwt,09-07-2016 15:11:59,8453,22299,false,773539317377478657
Twitter for Android,"@adhd_fa:Kudos to @PARISDENNARD for standing up to CNN's attempt to bully you and shout you down for defending @realDonaldTrump #media bias,09-07-2016 04:22:37,5213,16806,false,773375897554526208
Twitter for iPhone,I will be interviewed on @oreillyfactor tonight at 11pmE @FoxNews. Enjoy!,09-07-2016 01:20:48,3037,13009,false,773330142785630208
Twitter for iPhone,Thank you North Carolina- get out &amp; #VoteTrump on 11/8/2016!#MakeAmericaGreatAgain https://t.co/HX2LRYs4Vq,09-07-2016 00:32:58,6414,19012,false,773318106630463488
Twitter for iPad,Great meeting with military spouses in Virginia- joined by @IvankaTrump @LaraLeaTrump @GenFlynn &amp; @MayorRGiuliani. https://t.co/00GNH9nLet,09-06-2016 22:09:01,6535,18886,false,773281879848062976
Twitter for iPhone,Thank you to all of our amazing military families service members and veterans. #ImWithYou https://t.co/RmQJt0Wxcq,09-06-2016 20:02:26,8341,25719,false,773250022045548544
Twitter for iPhone,Join me in Pensacola Florida this Friday at 7pm! #VoteTrump https://t.co/L8Ui56dcrJ https://t.co/0ciDCuoFeO,09-06-2016 17:57:59,4740,13911,false,773218706084290565
Twitter for iPhone,Thank you! #VoteTrump #ImWithYou https://t.co/SCEq9LqTTj,09-06-2016 17:08:51,12467,32983,false,773206341296979972
Twitter Web Client,Mainstream media never covered Hillary’s massive “hacking”or coughing attack yet it is #1 trending. What’s up?,09-06-2016 15:31:09,13967,35683,false,773181751749402624
Twitter for Android,"@Ler: Message for undecided voters: Please wake up and vote DonaldTrump now! Trump/Pence very important save our America before too late!",09-06-2016 13:05:12,6625,19872,false,773145023319867392
